Lower tier local authorities Code,Accommodation type (5 categories),Observation
E07000063,A caravan or other mobile or temporary structure,343
E07000064,Whole house or bungalow: Detached,17719
E07000064,Whole house or bungalow: Semi-detached,9620
E07000064,Whole house or bungalow: Terraced,5452
E07000064,"Flat, maisonette or apartment",9087
E07000064,A caravan or other mobile or temporary structure,224
E07000065,Whole house or bungalow: Detached,29838
E07000065,Whole house or bungalow: Semi-detached,21164
E07000065,Whole house or bungalow: Terraced,8554
E07000065,"Flat, maisonette or apartment",7870
E07000065,A caravan or other mobile or temporary structure,838
E07000066,Whole house or bungalow: Detached,16660
E07000066,Whole house or bungalow: Semi-detached,20264
E07000066,Whole house or bungalow: Terraced,24924
E07000066,"Flat, maisonette or apartment",14188
E07000066,A caravan or other mobile or temporary structure,326
E07000067,Whole house or bungalow: Detached,19060
E07000067,Whole house or bungalow: Semi-detached,22537
E07000067,Whole house or bungalow: Terraced,14498
E07000067,"Flat, maisonette or apartment",8690
E07000067,A caravan or other mobile or temporary structure,201
E07000068,Whole house or bungalow: Detached,9815
E07000068,Whole house or bungalow: Semi-detached,10320
E07000068,Whole house or bungalow: Terraced,4823
E07000068,"Flat, maisonette or apartment",7292
E07000068,A caravan or other mobile or temporary structure,92
E07000069,Whole house or bungalow: Detached,15580
E07000069,Whole house or bungalow: Semi-detached,14257
E07000069,Whole house or bungalow: Terraced,2842
E07000069,"Flat, maisonette or apartment",3524
E07000069,A caravan or other mobile or temporary structure,1186
E07000070,Whole house or bungalow: Detached,22310
E07000070,Whole house or bungalow: Semi-detached,23467
E07000070,Whole house or bungalow: Terraced,14117
E07000070,"Flat, maisonette or apartment",14895
E07000070,A caravan or other mobile or temporary structure,614
E07000071,Whole house or bungalow: Detached,24439
E07000071,Whole house or bungalow: Semi-detached,24512
E07000071,Whole house or bungalow: Terraced,14398
E07000071,"Flat, maisonette or apartment",16217
E07000071,A caravan or other mobile or temporary structure,143
E07000072,Whole house or bungalow: Detached,12611
E07000072,Whole house or bungalow: Semi-detached,17711
E07000072,Whole house or bungalow: Terraced,11716
E07000072,"Flat, maisonette or apartment",11776
E07000072,A caravan or other mobile or temporary structure,742
E07000073,Whole house or bungalow: Detached,3863
E07000073,Whole house or bungalow: Semi-detached,6551
E07000073,Whole house or bungalow: Terraced,17166
E07000073,"Flat, maisonette or apartment",10234
E07000073,A caravan or other mobile or temporary structure,43
E07000074,Whole house or bungalow: Detached,12543
E07000074,Whole house or bungalow: Semi-detached,8492
E07000074,Whole house or bungalow: Terraced,4065
E07000074,"Flat, maisonette or apartment",2506
E07000074,A caravan or other mobile or temporary structure,294
E07000075,Whole house or bungalow: Detached,11951
E07000075,Whole house or bungalow: Semi-detached,16310
E07000075,Whole house or bungalow: Terraced,2811
E07000075,"Flat, maisonette or apartment",3908
E07000075,A caravan or other mobile or temporary structure,577
E07000076,Whole house or bungalow: Detached,26999
E07000076,Whole house or bungalow: Semi-detached,21191
E07000076,Whole house or bungalow: Terraced,7435
E07000076,"Flat, maisonette or apartment",11031
E07000076,A caravan or other mobile or temporary structure,793
E07000077,Whole house or bungalow: Detached,15507
E07000077,Whole house or bungalow: Semi-detached,11427
E07000077,Whole house or bungalow: Terraced,5803
E07000077,"Flat, maisonette or apartment",3992
E07000077,A caravan or other mobile or temporary structure,229
E07000078,Whole house or bungalow: Detached,9690
E07000078,Whole house or bungalow: Semi-detached,17599
E07000078,Whole house or bungalow: Terraced,11108
E07000078,"Flat, maisonette or apartment",14175
E07000078,A caravan or other mobile or temporary structure,327
E07000079,Whole house or bungalow: Detached,15135
E07000079,Whole house or bungalow: Semi-detached,12523
E07000079,Whole house or bungalow: Terraced,8099
E07000079,"Flat, maisonette or apartment",4499
E07000079,A caravan or other mobile or temporary structure,341
E07000080,Whole house or bungalow: Detached,16649
E07000080,Whole house or bungalow: Semi-detached,12702
E07000080,Whole house or bungalow: Terraced,4983
E07000080,"Flat, maisonette or apartment",2555
E07000080,A caravan or other mobile or temporary structure,328
E07000081,Whole house or bungalow: Detached,11646
E07000081,Whole house or bungalow: Semi-detached,21950
E07000081,Whole house or bungalow: Terraced,11475
E07000081,"Flat, maisonette or apartment",10111
E07000081,A caravan or other mobile or temporary structure,225
E07000082,Whole house or bungalow: Detached,19286
E07000082,Whole house or bungalow: Semi-detached,17216
E07000082,Whole house or bungalow: Terraced,9833
E07000082,"Flat, maisonette or apartment",5716
E07000082,A caravan or other mobile or temporary structure,327
E07000083,Whole house or bungalow: Detached,14625
E07000083,Whole house or bungalow: Semi-detached,14240
E07000083,Whole house or bungalow: Terraced,7458
E07000083,"Flat, maisonette or apartment",3960
E07000083,A caravan or other mobile or temporary structure,648
E07000084,Whole house or bungalow: Detached,23193
E07000084,Whole house or bungalow: Semi-detached,19880
E07000084,Whole house or bungalow: Terraced,20736
E07000084,"Flat, maisonette or apartment",12565
E07000084,A caravan or other mobile or temporary structure,271
E07000085,Whole house or bungalow: Detached,22023
E07000085,Whole house or bungalow: Semi-detached,13606
E07000085,Whole house or bungalow: Terraced,9185
E07000085,"Flat, maisonette or apartment",7552
E07000085,A caravan or other mobile or temporary structure,353
E07000086,Whole house or bungalow: Detached,18973
E07000086,Whole house or bungalow: Semi-detached,16190
E07000086,Whole house or bungalow: Terraced,12123
E07000086,"Flat, maisonette or apartment",9245
E07000086,A caravan or other mobile or temporary structure,391
E07000087,Whole house or bungalow: Detached,17497
E07000087,Whole house or bungalow: Semi-detached,15670
E07000087,Whole house or bungalow: Terraced,8909
E07000087,"Flat, maisonette or apartment",6355
E07000087,A caravan or other mobile or temporary structure,208
E07000088,Whole house or bungalow: Detached,4824
E07000088,Whole house or bungalow: Semi-detached,9877
E07000088,Whole house or bungalow: Terraced,12601
E07000088,"Flat, maisonette or apartment",8462
E07000088,A caravan or other mobile or temporary structure,158
E07000089,Whole house or bungalow: Detached,16982
E07000089,Whole house or bungalow: Semi-detached,10238
E07000089,Whole house or bungalow: Terraced,7273
E07000089,"Flat, maisonette or apartment",5263
E07000089,A caravan or other mobile or temporary structure,210
E07000090,Whole house or bungalow: Detached,15181
E07000090,Whole house or bungalow: Semi-detached,15840
E07000090,Whole house or bungalow: Terraced,12241
E07000090,"Flat, maisonette or apartment",10137
E07000090,A caravan or other mobile or temporary structure,190
E07000091,Whole house or bungalow: Detached,35214
E07000091,Whole house or bungalow: Semi-detached,18667
E07000091,Whole house or bungalow: Terraced,11841
E07000091,"Flat, maisonette or apartment",10590
E07000091,A caravan or other mobile or temporary structure,1254
E07000092,Whole house or bungalow: Detached,6491
E07000092,Whole house or bungalow: Semi-detached,12597
E07000092,Whole house or bungalow: Terraced,9238
E07000092,"Flat, maisonette or apartment",10801
E07000092,A caravan or other mobile or temporary structure,176
E07000093,Whole house or bungalow: Detached,20554
E07000093,Whole house or bungalow: Semi-detached,14714
E07000093,Whole house or bungalow: Terraced,11883
E07000093,"Flat, maisonette or apartment",7164
E07000093,A caravan or other mobile or temporary structure,393
E07000094,Whole house or bungalow: Detached,18714
E07000094,Whole house or bungalow: Semi-detached,13334
E07000094,Whole house or bungalow: Terraced,10372
E07000094,"Flat, maisonette or apartment",8612
E07000094,A caravan or other mobile or temporary structure,683
E07000095,Whole house or bungalow: Detached,6102
