outcode,gas_total_cons_kwh,gas_mean_cons_kwh,gas_median_cons_kwh
B1,13707901.194795389,10291.217113209752,7009.8352121263615
B10,104728850.5648831,14944.185297500442,13414.105805411604
B11,181796557.16926882,14165.229637624187,12610.931089192589
B12,76752254.53717716,13044.230886671849,11129.212216168644
B13,199476599.7267085,14390.174558267818,11830.01
B14,198373063.00108135,11851.658680910583,10629.925918909597
B15,81697271.02217965,15644.824018035168,11134.157873287899
B16,94808805.32240304,13411.911914330605,10326.532065661153
B17,150431380.38350195,15303.294036978836,12970.48036178634
B18,62003155.46907893,11552.665449800434,9788.444571053658
B19,73600969.06233336,12277.059059605232,10560.894022233315
B2,1104294.5595278246,29845.798906157423,26314.120226291503
B20,172345764.5193356,15877.085630523778,14217.77508733956
B21,142302111.30467176,14764.693017708214,13192.540366455125
B23,198011094.31685868,11668.990177197164,10127.72
B24,137070450.23700204,12454.156845084684,10611.401915747965
B25,71572361.36027502,12217.883468807617,11082.723039245622
B26,153281286.22419932,11562.29058038767,10770.652074996155
B27,117102536.89018238,12400.988763124258,10760.760760759034
B28,163656498.11326417,14614.797116740861,13296.399165961357
B29,183536645.3146171,12178.94129493146,10543.147405294201
B3,4185791.089488055,16610.282101143075,11687.439001991403
