outcode,elec_total_cons_kwh,elec_mean_cons_kwh,elec_median_cons_kwh
GU35,38055165.73299991,3624.301498380944,2727.8999999995367
GU4,29278443.057000063,4246.945613141872,3109.399999999882
GU46,21442697.705000002,3559.5447717463485,2934.5999999998267
GU47,27458946.45400003,3571.1986544414135,2910.3000000004167
GU5,24428572.355999984,5355.968506029376,3516.6999999997133
GU51,42321431.45499992,3742.609785550046,2970.5
GU52,25849502.483999964,3463.6878579659606,2890.800000000404
GU6,29829278.45099996,4029.3500541672242,2865.8000000003985
GU7,39461636.07600001,3634.672200055265,2718.3999999995062
GU8,40219159.96600002,5324.220276145092,3473
GU9,49660706.92900013,3566.81,2753.100000000723
HA0,61879497.33400015,3524.2907696776483,2591.1000000008435
HA1,56477532.87299979,3324.554560454426,2363.3
HA2,67115837.23999974,3201.9387071227393,2506.8999999990697
HA3,86382148.22799973,3526.089812556116,2736.6000000010513
HA4,71824979.05,3421.5405416825506,2755.3999999990183
HA5,69227746.59899996,3807.4879880651174,2944.799999999217
HA6,42608733.031999916,4423.204923907393,3065
HA7,54156621.64,3805.806158678847,2755.1999999999794
HA8,87999791.43,3623.4781943506673,2767
HA9,66226934.02909786,3345.4705005606115,2439.5
HD1,30523367.860999882,3316.675851461467,2387.8000000004104
HD2,37546892.31400003,3093.5892159512264,2462.1000000005056
HD3,44221388.90899993,3044.7114368631183,2385.699999999585
HD4,40498230.81799996,2994.766754270499,2359
HD5,40361726.45999988,2876.2008451507077,2307
HD6,37829296.22199998,2996.617254594422,2416
HD7,32850195.00599997,3098.7826625789994,2390.300000000455
HD8,48990024.272999726,3345.6275539848207,2595.5
HD9,53375040.90999996,3316.2498235476833,2561.7000000001267
HG1,53102827.81900018,3080.0317742010425,2313.3999999992475
HG2,50936618.40199979,3448.1870025724197,2611.1000000007275
HG3,54818225.28899999,4185.875480222968,2883
HG4,44013976.75500011,3767.9973251434044,2654.8999999994585
HG5,29594681.35900002,3436.0479924532706,2598
HP1,39540909.01099991,3355.759060595766,2617.3000000005068
HP10,34615749.61999999,4122.394857687268,3104.199999999537
HP11,26710550.43999996,3667.0168094453543,2775
HP12,29439830.11899998,3438.429119247837,2692.3000000004263
HP13,62815026.57800004,3521.416446798971,2711.399999999118
HP14,35091084.76899997,4645.364676859938,3304.699999999549
HP15,27743788.19,3866.191219342252,3067.800000000411
HP16,24144612.392000057,4861.983969391876,3444.1999999996847
HP17,20902891.567000024,4156.47,2973.5999999997503
HP18,39586695.76900008,4378.090662353471,3006
HP19,32818548.956999987,3037.9106689808373,2427.8999999996313
HP2,57856741.68100008,3242.5456302751827,2519.8999999991643
HP20,21412774.01,3076.990086362983,2289.099999999743
HP21,45282363.87100018,3155.565426550535,2503.300000000295
HP22,53131116.348999985,3883.5696476134776,2850.1000000007357
HP23,31456998.763000038,4004.2004535387014,2859.600000000181
HP27,24224760.529000036,4070.020250168017,2894.800000000318
HP3,51434493.22100019,3650.43,2805
HP4,43893370.29199989,4126.48,2895.100000000535
HP5,42519513.635000125,3800.4570642652952,2775.100000000543
HP6,25305927.082999945,4107.438254017196,3122.099999999961
HP7,18600534.648000006,4000.1149780645173,2943.9000000002384
HP8,15312292.867000002,5397.3538480789575,3819.199999999934
HP9,37587813.65000005,5128.641513166878,3629.8999999996154
HR1,51518450.91199999,3480.5060743142812,2630.8000000000407
HR2,62028149.605999954,3633.539312635461,2687.799999999584
HR3,16409602.765999978,4296.832355590463,2939.5
HR4,48545219.81800006,3427.8505732241256,2573
HR5,9189660.542999987,4109.866074686935,2847.5
HR6,37667281.10399991,3921.2243497813774,2870.300000000478
HR7,12712131.904999997,3783.372590773809,2764
HR8,25291965.708000004,3796.4523728610034,2674.9000000001606
HR9,42440539.57399989,4144.583942773426,2927
HS1,12563737.664000014,3822.2505822938892,2739.9000000001683
HS2,38921998.75900003,4613.797861427221,3520.9
HS3,5474193.728999999,5159.466285579641,3567.8999999999373
HS4,1038760.9890000001,4616.715506666667,3458.099999999986
HS5,1044021.6279999999,5194.137452736318,3816.900000000014
HS6,5781080.499999998,5009.601819757364,3583.8999999999346
HS7,4172743.300000001,5377.246520618558,4420.1000000000595
HS8,6119311.1,4975.049674796747,3554.200000000081
HS9,3987293.800000003,4273.6267952840335,2986.5
HU1,9474512.541999996,3460.3771154127085,2217.4000000000697
HU10,28626330.479999885,3136.788349769876,2551.300000000429
HU11,19294510.01,3484.6505340437056,2633
HU12,35631390.35799997,3193.0630305582913,2491.1999999995196
HU13,21081900.258999985,2897.8557057044654,2316.0999999997443
HU14,15393458.223000012,4001.4188258383188,2963.900000000211
HU15,37409323.253999956,3447.863894377876,2644.1999999995114
HU16,23032345.02499992,2871.147472575408,2305.0999999998994
HU17,62369198.879999734,2990.324537565313,2336.5
HU18,12697255.427999994,3006.690842529006,2388.9
HU19,9676734.956999997,2945.7336246575333,2329.2000000001262
HU2,6770046.2179999985,2903.107297598627,2148.900000000006
HU20,1776365.35,4650.171078534031,3260.6999999999766
HU3,40678077.502999805,2828.5986720672977,2156.5
HU4,29272523.139999945,2713.182235610339,2243.1000000002746
HU5,60952609.699000046,2680.531672413037,2138.700000000561
HU6,39886065.85299986,2839.2700635677575,2364.6000000006047
HU7,56514297.74099975,2770.3087127941053,2340.299999999484
HU8,42733405.04500004,2757.5275888881743,2313.1000000006693
HU9,50285234.03099988,2642.8356562253575,2194.6000000007857
HX1,31464587.819999978,3256.192468177582,2393.8999999997814
HX2,52696429.84399965,3155.8527873996672,2506.7000000001694
HX3,66590040.93304853,3097.643435504886,2429.100000000927
HX4,18497291.36,3446.4861853922116,2640.099999999757
HX5,15666209.486000042,3241.5082735361148,2511
HX6,30298379.588999894,3435.969561011555,2553.899999999816
HX7,21128021.650999982,3225.1597696534855,2235.300000000243
IG1,72827825.14100002,3473.4499518767598,2612.799999999167
IG10,51224220.32100012,3660.703231687281,2780
IG11,76498647.83699991,3203.1926906037984,2438.2
IG2,33544730.93899992,3494.242806145825,2747.100000000375
IG3,40549458.743000016,3640.9678318218566,2818.6000000005533
IG4,11835600.93300001,3941.259051948055,3207.7000000000185
IG5,21240179.455999944,3619.0457413528616,2973.5
IG6,36394913.41778121,3198.709212320374,2544.8999999995253
IG7,37012313.74400003,4224.185544852777,3003.600000000373
IG8,53202096.49199986,3645.7271631604094,2851.2999999998474
IG9,22262110.46999997,3861.5976530789194,2921.199999999692
IP1,55147427.13499993,3154.8871358695615,2423.8999999992043
IP10,6413334.686999997,4522.803023272212,3150.6000000000395
IP11,44224055.86,3019.5313301242663,2354.399999999363
IP12,51244582.19399983,4231.592253839787,2877.3000000003963
IP13,43023077.97400005,4803.827375390805,3167.1000000004533
IP14,72267669.95000018,3826.5207005189127,2683.2000000006587
IP15,6787939.924000003,3274.4524476603974,2088.399999999948
IP16,11713082.858000014,3055.8525588312064,2234.5
IP17,28874200.806000005,4487.055292307693,2932.1999999996447
IP18,10526464.97299999,3293.6373507509356,2001.5999999999149
IP19,22283568.11999999,4246.9159748427655,2837
IP2,43938326.98999986,3036.931641553764,2347.8999999993757
IP20,15537731.326000007,3915.758902721776,2763.4000000002047
IP21,25936087.96800002,4993.470921832888,3546.9000000001065
IP22,44489275.23,4245.564961351283,2948.100000000538
IP23,16380560.132000001,4936.877676913804,3482.800000000109
IP24,41000516.323999904,3362.627435741811,2575
IP25,34089364.17200004,3664.3409837686813,2607.8999999997222
